country,cables_totales,cables_zona,dependencia,redundancia_inv,eventos_totales,muertes_totales,max_cables_por_lp,n_dependencia,n_redundancia,n_exposicion,n_concentracion,indice_riesgo
Yemen,5,5.0,1.0,0.2,569,2121,3,0.5,0.76,1.0,0.0,0.652
Pakistan,9,9.0,1.0,0.1111111111111111,306,693,9,0.5,0.3333333333333333,0.5377855887521968,0.5454545454545454,0.487
Iraq,4,4.0,1.0,0.25,0,0,4,0.5,1.0,0.0,0.09090909090909091,0.364
Kuwait,6,6.0,1.0,0.16666666666666666,6,6,5,0.5,0.6,0.01054481546572935,0.18181818181818182,0.301
Saudi Arabia,24,24.0,1.0,0.041666666666666664,0,0,14,0.5,0.0,0.0,1.0,0.3
United Arab Emirates,21,21.0,1.0,0.047619047619047616,8,16,12,0.5,0.028571428571428567,0.014059753954305799,0.8181818181818182,0.283
Iran,6,6.0,1.0,0.16666666666666666,13,69,3,0.5,0.6,0.022847100175746926,0.0,0.278
Qatar,9,9.0,1.0,0.1111111111111111,8,48,6,0.5,0.3333333333333333,0.014059753954305799,0.2727272727272727,0.262
Bahrain,7,7.0,1.0,0.14285714285714285,0,0,4,0.5,0.4857142857142857,0.0,0.09090909090909091,0.261
Oman,20,20.0,1.0,0.05,0,0,8,0.5,0.04000000000000002,0.0,0.45454545454545453,0.226
